indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Incendios forestales,12f60bea-3225-4375-935c-1fb9ebe3ef57,OK,0,4
1,Asignación presupuestaria para construcción de obras para tratamientos de residuos,05657188-4d10-4c1c-be3d-3308db35cc22,OK,0,1
2,Grado de la degradación de tierras secas en Argentina,2e21c5a0-9c96-44ad-8574-f865be07cad7,ERROR,2,2
3,Proyectos con financiamiento externo,3b8c5484-c346-4dd6-8376-e6b521ee745e,ERROR,1,1
4,Programa de Reconversión Industrial - PRI,9052dd12-505e-456e-9162-e3abdf60dba9,ERROR,1,3
5,Normativa nacional Argentina vinculada a Suelos,ec41f092-2a01-43ed-a12b-22d2a4c12bf8,ERROR,1,1
6,Plan integral comunitario (PICs),9a4f202f-4cb4-4dc1-9557-503c68e2b32e,ERROR,1,1
7,Índice de Aridez,31a2acad-c95c-4346-9447-eb0603935c9f,ERROR,2,1
8,Organizaciones de la sociedad civil,b67a0774-0c7a-4a23-8d23-b5fb76a814b5,ERROR,1,1
9,Programa Nacional de Emprendedores para el Desarrollo Sustentable (PROESUS),1931bc96-46a5-48f3-b613-55626847ca61,ERROR,1,2
10,Sanciones administrativas aplicadas,408ba48b-cd84-45bd-9632-254c10b637b9,ERROR,1,1
11,Normativa ambiental,b4110596-d9f4-42ff-b5d8-08f26e1c83c0,ERROR,1,1
12,Generación de residuos,c099ac6b-e6c0-464e-b3e0-8381bb6f35b2,ERROR,1,1
13,Comercialización de fauna silvestre,3015d5f5-d032-4abc-a959-4eaea8c98fc2,ERROR,1,1
14,Fiscalización de fauna,c8864d14-0ac1-4c97-9fe6-10b12ef3ecdc,ERROR,1,1
15,Decomisos por comercio ilegal de especies,a84def2c-5233-41b1-9bc5-868671a84a92,ERROR,1,2
16,"Superficie, porcentaje y número de áreas naturales protegidas",7111050b-ea63-4858-92e2-aa126352ae77,ERROR,2,3
17,Humedales de Argentina dentro de la Convención Ramsar,0060e144-5b8a-405d-a8fc-bad574ed2153,ERROR,2,2
18,Inventario Nacional de Glaciares - Ley N° 26639,a0f15169-f826-4657-b53f-0471bf6392e3,ERROR,2,1
19,Muestreos de calidad de agua de RIIGLO 2013-2016,894b56e5-6861-4863-965c-3ba12da7edd3,ERROR,1,9
