indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Registro de Audiencias,AUDIE-96185,OK,0,3
1,Registro de Visitas,REGIS-DE-VISIT-31415,OK,0,3
2,Tráfico de Internet entrante y saliente,TRAFI-DE-INTER,OK,0,3
3,Fibra óptica en obra,FIBRA-OPTIC-PROXI-EN-OBRA,OK,0,3
4,Fibra óptica próxima a iluminar,TRAZA-DE-FO-PROXI-A,OK,0,3
5,Fibra óptica planificada,FIBRA-OPTIC-PLANI,OK,0,3
6,Fibra óptica tendida,FIBRA-OPTIC-TENDI,OK,0,3
7,Datos de uso de la plataforma,ODEON-ESTAD-DE-USO,OK,0,3
8,Declaraciones Juradas Patrimoniales - Directorio y Gerentes,DECLA-JURAD-DIREC-Y-GEREN,OK,0,3
9,Cantidad de clientes por provincia,CANTI-DE-CLIEN-POR-PROVI,OK,0,3
10,Cantidad Total de Megabits en servicio por provincia,REFEF-CANTI-DE-CLIEN-Y,OK,0,3
11,Distribución por provincia de las escuelas conectadas con tecnología Gillat,ESCUE-CON-TECNO-GILLA-POR,OK,0,3
12,Escuelas Conectadas con Tecnología Gillat,ESCUE-CONEC-CON-TECNO-GILLA,OK,0,3
13,Puntos de Conexión al Plan Federal de Internet por provincia,PUNTO-DE-CONEX-AL-PFI,OK,0,3
14,Futuros puntos de conexión al Plan Federal de Internet,NODOS-PLANI,OK,0,3
15,Coordenadas de la red de fibra óptica en servicio,PLAN-FEDER-DE-INTER-TRAZA,OK,0,3
16,Personal de ARSAT según zona laboral,CANTI-DE-PERSO-QUE-PREST,OK,0,3
17,Personal por Gerencia distinguido por género,DISTR-DE-PERSO-POR-GENER,OK,0,3
18,Personal de ARSAT según contrato laboral,CANTI-DE-PERSO-POR-REGIM,OK,0,3
19,Personal por Gerencia,CANTI-DE-PERSO-POR-GEREN,OK,0,3
20,Total de personal por género,PERSO-POR-GENER,OK,0,3
21,Personal de ARSAT asignado a áreas operativas o de soporte,CANTI-DE-PERSO-ASIGN-A,OK,0,3
22,Personal por provincia,DISTR-DE-PERSO-POR-PROVI,OK,0,3
23,Promedios de edad y antigüedad del personal,PROME-DE-EDAD-Y-ANTIG,OK,0,3
24,Listado de Personal,LISTA-DE-PERSO-98437,OK,0,3
25,Puntos de conexión al Plan Federal de Internet,NODOS-EN-SERVI-58179,OK,0,3
26,Licitaciones,LICIT-PUBLI,OK,0,3
27,Porcentaje de avance del Plan,PLAN-DE-CONEC-DE-97527,OK,0,3
28,Escuelas conectadas,PLAN-DE-CONEC-DE-61064,OK,0,3
29,Escuelas de próxima conexión,PLAN-DE-CONEC-DE-25724,OK,0,3
30,Listado de Proveedores,LISTA-DE-PROVE-79569,OK,0,3
31,Honorarios de Directores,HONOR-DE-DIREC,OK,0,3
32,Categorías y escalas salariales,ESCAL-SALAR,OK,0,3
33,Áreas de cobertura de la televisión digital abierta,TDA-POLIG-DE-COBER,OK,0,3
34,Fibra óptica de la empresa Transener,FIBRA-OPTIC-DE-LA-EMPRE,OK,0,3
35,Datos de las estaciones de transmisión en construcción o planificadas,TDA-ESTAC-PLANI,OK,0,3
36,Datos de las estaciones transmisoras,TDA-ESTAC-DE-TRANS,OK,0,3
37,Datos del área de cobertura de la Banda KU del satélite ARSAT-1,SATEL-COBER-ARSAT-1,OK,0,3
38,Salarios Gerentes,SALAR-GEREN,OK,0,3
39,Ejecuciones Presupuestarias 2016,EJECU-PRESU-2016,OK,0,3
40,Datos del área de cobertura de la Banda KU del satélite ARSAT-2 en Norteamérica,SATEL-COBER-ARSAT-2-31319,OK,0,3
41,Datos del área de cobertura de la Banda C del satélite ARSAT-2 en América,SATEL-COBER-ARSAT-2-BANDA,OK,0,3
42,Datos del área de cobertura en Banda KU del satélite ARSAT-2 en América del Sur,SATEL-COBER-ARSAT-2-21886,OK,0,3
43,Kilómetros de fibra óptica previstos y localidades contempladas por provincia,PLAN-FEDER-DE-INTER-MONTO,OK,0,3
