indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Barrios Populares de Argentina,89fb68b6-fce4-4297-8dee-24f5de8f20a8,ERROR,2,1
1,Sistema de Contrataciones Electrónicas  (Argentina Compra),069b5833-e57d-4d7a-859b-67a80cfdff20,ERROR,1,9
2,Ejecución Presupuestaria de la Administración Pública Nacional,89f1a2dd-ad79-4211-87b4-44661d81ac0d,ERROR,1,2
3,Registro Central de Personas Contratadas,becaceb2-dbd0-4879-93bd-5f02bd3b8ca2,ERROR,1,1
4,Personal por Gerencia,4b5ff508-b1d3-4d94-8abd-5c6f05161974,ERROR,2,3
5,Listado de Proveedores,3e30c4f9-7fd3-4db7-8f87-3d05c03fe492,ERROR,2,3
6,Avance de la Fase 1 del Proyecto,7d859f10-f90a-4b79-b6f3-530d8a0a294c,ERROR,2,3
7,Declaraciones Juradas Patrimoniales - Directorio y Gerentes,071ce542-706f-4d99-8e3e-162653cbb5fa,ERROR,2,3
8,Escuelas Conectadas con Tecnología Gillat,b7cb7265-002c-459a-8537-62faade10389,ERROR,2,3
9,Datos de uso de la plataforma,1a0cab04-aa89-4e22-a2b6-ada7529f8bf8,ERROR,2,3
10,Puntos de conexión al Plan Federal de Internet,56b4acd5-99a6-4c22-9ecf-3cfe26eaf6fd,ERROR,2,3
11,Futuros puntos de conexión al Plan Federal de Internet,77c1ccb7-5e3c-4944-b7be-6cf9b98dfd2f,ERROR,2,3
12,Kilómetros de fibra óptica previstos y localidades contempladas por provincia,5201fff3-ff5e-4676-ad81-0ba617343ed5,ERROR,2,3
13,Datos del área de cobertura en Banda KU del satélite ARSAT-2 en América del Sur,6873ee13-f20a-4dab-ad5e-6d7b53bea740,ERROR,2,3
14,Datos del área de cobertura de la Banda C del satélite ARSAT-2 en América,0a7eeb32-46e1-4437-8ae2-13822d06e0e2,ERROR,2,3
15,Datos del área de cobertura del satélite ARSAT-1,ab4c6b4c-e0b8-42a3-985f-743f21dc9921,ERROR,2,3
16,Datos del área de cobertura de la Banda KU del satélite ARSAT-2 en Norteamérica,1cdf548d-79d4-47d1-844d-0874b9f0222a,ERROR,2,3
17,Escuelas conectadas,66a9095a-a871-4907-90a3-78b7078abcd3,ERROR,2,3
18,Escuelas de próxima conexión,bd18ad90-51bc-4ad7-b407-a09d269614c8,ERROR,2,3
19,Licitaciones,0208215d-26bd-4579-a80d-e4baf88c59ad,ERROR,2,3
20,Listado de Personal,fc29b3d4-66a6-4eb6-a90a-16bd13342560,ERROR,2,3
21,Promedios de edad y antigüedad del personal,025e809f-ccc2-4cf1-9253-70b4b93ff156,ERROR,2,3
22,Categorías y escalas salariales,c0110b8e-236c-4166-ad19-0fa0005c76e0,ERROR,2,3
23,Ejecuciones Presupuestarias 2016,4857440e-2e02-4e38-acfd-3b97ff9962b9,ERROR,2,3
