indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Portabilidad numérica móvil: portaciones netas mensuales por operador,http://enacom.cloudapi.junar.com/api/v2/datastreams/PORTA-NUMER-MOVIL-ALTAS-Y/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
1,"Operadores con el mayor número de reclamos recibidos,servicio de telefonía móvil",http://enacom.cloudapi.junar.com/api/v2/datastreams/OPERA-CON-EL-MAYOR-16582/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
2,Reclamos mensuales recibidos por motivo de reclamo,http://enacom.cloudapi.junar.com/api/v2/datastreams/NUMER-MENSU-DE-RECLA-88502/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
3,"Operadores con el mayor número de reclamos recibidos, servicio de Internet fijo",http://enacom.cloudapi.junar.com/api/v2/datastreams/OPERA-CON-EL-MAYOR-NUMER/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
4,"Operadores con el mayor número de reclamos recibidos, servicio de telefonía fija",http://enacom.cloudapi.junar.com/api/v2/datastreams/OPERA-CON-EL-MAYOR-65162/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
5,Reclamos por tipo de servicio (año corrido),http://enacom.cloudapi.junar.com/api/v2/datastreams/RECLA-POR-TIPO-DE-SERVI/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
6,Reclamos mensuales por tipo de servicio,http://enacom.cloudapi.junar.com/api/v2/datastreams/RECLA-MENSU-POR-TIPO-DE/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
7,Reclamos por operador y motivo de reclamo,http://enacom.cloudapi.junar.com/api/v2/datastreams/RECLA-POR-OPERA-ANO-CORRI/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
8,Reclamos por motivo de reclamación (año corrido),http://enacom.cloudapi.junar.com/api/v2/datastreams/TOTAL-DE-RECLA-POR-TIPO/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
9,Denuncias recibidas por delegación (año corrido),http://enacom.cloudapi.junar.com/api/v2/datastreams/DENUN-RECIB-POR-DELEG-ANO/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
10,Denuncias mensuales recibidas,http://enacom.cloudapi.junar.com/api/v2/datastreams/NUMER-MENSU-DE-DENUN/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
11,Licenciatarios TIC,http://enacom.cloudapi.junar.com/api/v2/datastreams/LICEN-TIC/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
12,Total nacional de accesos a Internet fijo por velocidad de bajada,http://enacom.cloudapi.junar.com/api/v2/datastreams/TOTAL-NACIO-DE-ACCES-32663/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
13,"Accesos de telefonía fija por provincia (hogares, comerciales, gobierno y otros)",http://enacom.cloudapi.junar.com/api/v2/datastreams/ACCES-DE-TELEF-FIJA-POR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
14,Número de radiobases 4G por provincia por cada 100 mil habitantes,http://enacom.cloudapi.junar.com/api/v2/datastreams/NUMER-DE-RADIO-4G-POR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
15,Radiobases 4G desplegadas por trimestre y provincia,http://enacom.cloudapi.junar.com/api/v2/datastreams/RADIO-4G-DESPL-POR-TRIME/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
