indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,40 Años Agua y Energía Eléctrica (1947-1987),976479b6-114f-485e-b6e6-a1795b35ca89,OK,0,1
1,Actividad ambiental petróleo y gas,d961b791-19b5-4ada-a64c-66cba740f532,ERROR,1,6
2,Anuarios de Combustibles 1950-1999,683a4dcc-7ade-4e54-8b34-99ef78a937b2,OK,0,37
3,Anuarios de Cooperativas Eléctricas,91cff942-0fd8-487b-a805-e525b1bfcb02,ERROR,2,18
4,Anuarios de Energía Eléctrica,e0c48587-cb50-4bb9-a541-8478a6ff2a6f,ERROR,1,52
5,Argentina Energy for growth,62b4fede-719e-4948-ba27-2ea9354db67f,OK,0,1
6,Auditorías e inspecciones en instalaciones de hidrocarburos,a20cc1db-1bd1-4706-9a6b-28d921af293b,ERROR,1,2
7,Autoridades nacionales desde 1944,875910da-b806-4f71-a5bf-112325581eea,ERROR,1,1
8,Balances Energéticos,ad6e372a-454e-44bf-9e41-a607942f4f61,ERROR,9,8
9,Balanza comercial minera,838eb9d7-bfff-4b3d-9a51-ce1d1a77aeb9,OK,0,2
10,Barrios Ciudad Autónoma de Buenos Aires,8e79a51f-474e-4d26-99eb-9e660edf76ec,OK,0,6
11,Boletín Mensual de Combustibles,206ada19-4934-40fa-9ab3-884b403b37c2,ERROR,4,1
12,Boletín Mensual de Precios,cc5c1516-e0fb-4610-98a8-fdde03a93414,ERROR,3,1
13,"Cálculo del Factor de Emisión de CO2, de la Red Argentina de Energía Eléctrica",7d47693a-c533-4e76-ae24-374c3205715a,ERROR,3,12
14,Cantidad de Usuarios de Energía Eléctrica - Total País (1991-2012),419044fb-6bf1-4d3d-8620-616eaf59b886,ERROR,2,1
15,Cantidad de usuarios de gas de red por segmento de calle,d850c7a4-e2cb-4a2e-9b15-666dd9e27398,OK,0,4
16,Cantidad de Usuarios por Provincia de Redes de Gas Natural,bcffc058-227b-426a-8a23-71a89ee73a21,OK,0,2
17,Cantidad de Usuarios por Tipo de Usuario de Redes de Gas Natural,eba8a57c-d9a7-40bc-b97a-dddb8d2ede55,OK,0,2
18,Carbón Río Turbio,d8228e77-977a-490f-bd35-c5b8f25d3f1e,OK,0,1
19,Catálogo de Recursos Hídricos,f6504a35-7776-4cba-8eec-9630469e4053,OK,0,1
20,Centrales Eléctricas,b036f967-a78a-49c7-950c-7cb29625080d,OK,0,1
21,Central Nuclear Atucha,c5e0ffdd-29ba-4a62-b69e-efb0af059e94,ERROR,4,1
22,Central Nuclear Embalse,1baf09f3-11fe-416f-a4d8-178bd421db65,ERROR,4,1
23,Certificados de importación según régimen de inversiones mineras,022eb3e3-e2ff-47e9-a770-7d54f6bcbefa,OK,0,2
24,Comercialización de combustibles,2b673b14-f585-4c15-a425-a3f5f9cda5d3,ERROR,1,15
25,Comercialización Hidrocarburos Combustibles Líquidos,669615be-17f4-41ad-9aad-4c438cb974f9,OK,0,4
26,Comercialización Hidrocarburos Combustibles Líquidos Aeroplantas,4adf2cf0-621c-49e6-8434-9d787765d9ea,OK,0,3
27,Comercialización Hidrocarburos Combustibles Líquidos Terminales de Despacho,99ba34a0-08f2-48e3-8d37-4d92542f740e,OK,0,3
28,Comercialización Hidrocarburos GLP Depósitos,315cbe4f-0de0-426a-90c7-8ca7533d4fac,OK,0,4
29,Comercialización Hidrocarburos GLP Plantas Fraccionadoras,075c393d-5ad1-4cb0-a653-e953c313796d,OK,0,4
30,Compras GLP,bada5328-3e7d-47b7-8fdc-85dbe2bc748e,ERROR,1,16
31,Conceptos sobre Energía,81be8f1b-bcfa-4650-a8c8-d95885e23335,OK,0,1
32,Conceptos sobre Hidrocarburos,88d29723-5f35-4949-8bd2-d15661ab2f5e,OK,0,1
33,Consumo de Combustibles en Centrales de Generación de Energía Eléctrica (1970-2012),1bda175c-8243-4927-9cb0-eb8513be3b09,ERROR,1,1
34,Consumo eléctrico,76efac11-3bab-472b-b2ce-e51cb8d40df7,ERROR,2,0
35,Consumos Energéticos Mercosur,ea82587b-3262-4276-b8a2-0b9f4bcb291a,ERROR,4,1
36,Control de calidad de combustibles,6088d0ad-1798-41a4-8e76-5f3156874238,ERROR,1,6
37,Cuadros Tarifarios Eléctricos,fca32aa8-ace4-4da6-9a2f-c8ea9119ac9a,ERROR,1,46
38,Detección Satelital de Venteos,7ef45681-a7de-440c-a343-b7d989261b58,ERROR,1,61
39,Disponibilidad de petróleo a fin de mes,65101748-c98b-47f1-bf35-c282ba7b492a,ERROR,1,3
40,Distribución de petróleo,1de93a11-047b-4665-93b7-f2927fc50f89,ERROR,1,5
41,Distribución Eléctrica Apelp La Pampa MT Líneas,69feceec-2e8c-4baf-af45-dd00b202aca6,OK,0,4
42,Distribución Eléctrica Áreas de Distribución de Cooperativas,edefded9-3329-468a-9c56-bc377a703200,OK,0,4
43,Distribución Eléctrica Concesiones de Empresas Distribuidoras,96d78704-874e-44eb-920b-2a13f346622c,OK,0,4
44,Distribución Eléctrica Edelap,2e0fe150-8cf4-4707-927d-94bfaf95bb53,OK,0,21
45,Distribución Eléctrica Edenor,70f994f6-fde6-4e09-b3a4-72f5f7145181,OK,0,34
46,Distribución Eléctrica Edesur,6cd06091-3498-457a-87cd-be1bf50f9e40,OK,0,17
47,Distribución Gas Concesiones de Empresas Distribuidoras,7e8aab1c-cacb-4739-bdef-a3932dcced99,OK,0,4
48,Elaboración de combustibles,b7204bc6-6b63-46b8-93cf-730379bb8335,ERROR,1,5
49,Energías Renovables Balance por radio censal de Energía derivada de la Biomasa WISDOM,d29ba763-7ae5-4e18-85bf-03c323bbd163,OK,0,16
50,Energías Renovables Plantas Biocombustibles,eccce607-f934-4e93-a40b-1cca44fd6cd6,OK,0,4
51,Plantas Productoras de Aceite Vegetal,bc71d6c7-677b-4fcd-807b-882747339fbf,OK,0,4
52,Energías Renovables Puntos de Interés Geotérmico,aaea4a47-34d3-4528-98ab-8cb33483eef9,OK,0,4
53,Energías Renovables Radiación Solar Incidente,292d47b8-07f7-4acc-b37f-2544ee8c89b4,OK,0,49
54,Refinerías de Aceite Vegetal,ab6c7e10-1b43-4e6f-a833-0adb996b0814,OK,0,4
55,Escenarios Energéticos,9e2a8087-1b49-446a-8e86-712b476122fb,ERROR,1,1
56,Estadísticas de biodiesel y bioetanol,5ce77ad1-c729-42cd-a8b5-2407de005e5b,OK,0,6
57,Estadísticas Operativas - Cantidad de Combustible Vendido Mensual,e6ff6708-b895-4c9e-b5a7-c464e785a991,ERROR,1,4
58,Estado de pozos de petróleo y gas,a6845008-51d9-481c-ad0f-899068e2bbc8,ERROR,1,5
59,Evaluación de Formaciones en la Argentina,2bd8b9fe-63c6-4fa0-85d6-bab880b0e137,OK,0,1
60,Evolución de la Demanda Eléctrica de Grandes Usuarios,7dac6812-021a-4a2f-a1c5-922fd4b8ae8b,ERROR,4,4
61,Exploración Hidrocarburos Cuencas Sedimentarias,0d4a18ee-9371-439a-8a94-4f53a9822664,ERROR,2,0
62,Exploración Hidrocarburos Lineas Sísmicas 2D,071b7a3e-0a34-426c-a605-d24e7bdef9a3,OK,0,5
63,Exploración Hidrocarburos Permisos de Exploración,66044d22-6657-47d1-b0bb-ecc7c1d37a44,OK,0,4
64,Exploración Hidrocarburos Sísmicas 3D,11540156-6454-47c8-9748-c8f8705f62c0,OK,0,4
65,Exportaciones minerales y derivados por provincia,0f1182d4-28a0-4ae3-85a4-cf806a59a8b7,OK,0,2
66,Exportaciones mineras por rubro,dea26f6a-a016-40aa-87eb-09f624c240fa,OK,0,2
67,Facturación de Energía Eléctrica en MWh (1970-2012),deba83e1-21aa-4efd-8545-7412c5387cbf,ERROR,3,1
68,Gas Entregado a Grandes Usuarios por Distribuidora,4923ff1e-f3db-4664-be56-4fde6bc3eb61,OK,0,2
69,Gas Entregado a Grandes Usuarios por Provincia,7abff795-d834-4a19-aae5-6deafa2983ea,OK,0,4
70,Gas Entregado por Área de Licencia,ce7b5038-d07e-4334-a810-348bca859810,OK,0,2
71,Gas Entregado por Provincia,c5d8e29a-912a-44ad-80d7-7a35cae0aeba,OK,0,3
72,Generación Eléctrica Bruta Asociada a redes desde 1930,3933032d-779b-4653-a069-7ad230674e79,OK,0,2
73,Generación Eléctrica - Centrales de Generación,c62df6c6-73af-4039-b956-db081ff6eebe,OK,0,4
74,Generación Eléctrica Centrales de Generación Con Biomasa,d8f0c569-8fea-4243-bd82-59fcba73c041,ERROR,2,0
75,Generación Eléctrica Pequeños Aprovechamientos Hidroeléctricos,d4aaab4e-ea13-4fbd-9ca2-52adb1478284,OK,0,4
76,Mapas de Generación y Transporte Eléctrico,d2c5f860-548c-44f5-a63c-03a66189a345,OK,0,11
77,Geología Climatología Curvas de Nivel IGN,915c306b-e1c4-42e1-ae10-bc1285e7e72c,OK,0,6
78,Geología Climatología Isobatas,2dddc76d-1b55-4076-883a-cbc38546b9d2,OK,0,4
79,Geología Climatología Yacimientos Minerales,ac7f614e-622e-43d1-b480-7af68ef9d881,OK,0,4
80,GLP: Área de Influencia de Depósitos,1684cdae-01b8-4987-abe9-532c2ef2b94a,OK,0,5
81,GLP: Distancia Areas Urbanas a Depósitos y Fraccionadoras,b2b9f9b2-0282-4c84-b815-a2366326f92f,ERROR,1,2
82,GLP - Paridad de Exportación de referencia,c604f147-913a-45c7-9ae7-c403a70ff970,ERROR,1,1
83,Historia del Alumbrado,e785b4af-59eb-4969-a393-522098479571,OK,0,1
84,Importaciones en el marco del régimen de inversiones mineras,0b2c26b8-7919-4ac6-8ffe-7f911b26fe58,OK,0,2
85,Importaciones mineras por rubro,847259dd-c788-463d-ac89-edad029dd767,ERROR,2,0
86,Impuestos sobre las tarifas eléctricas a usuario final de Cooperativas Eléctricas de Bs. As,b73a7255-b413-4a9f-a7b0-0db70782583a,ERROR,4,1
87,Impuestos y Subsidios sobre Tarifas Eléctricas a Usuario Final,baba3db6-7438-46b3-a02f-7ee80e9e9a8b,ERROR,4,2
88,Información Socioeconómica Áreas Urbanas Según Calles OSM,0761fc22-bb12-4b6b-8d87-c71ce3e52e02,OK,0,5
89,Información Socioeconómica Asentamientos y Villas ONG Techo,1c58835a-4590-41e1-9ba2-5a41fd6da0d1,OK,0,4
90,Información Socioeconómica Asentamientos y Villas Wikimapia,8eba1cb4-37d4-4533-8f34-a8e48c2fe1af,OK,0,4
91,Información Socioeconómica Ejidos Urbanos,bfbe9495-7ec1-4198-9c93-8da043582481,OK,0,4
92,Información Socioeconómica INDEC Radios Censales,8ca540f9-434b-40f1-8a2f-6e22cdb26503,OK,0,97
93,Información Socioeconómica Índice de Pobreza Multidimensional,ed0ea922-2379-4c1e-87ae-94a99b508bd0,OK,0,7
94,Información Socioeconómica Jefe de Hogar con educación media incompleta,4d31208b-28d1-457c-95d3-044b5870bd26,OK,0,92
95,Información Socioeconómica Jefe de Hogar con educación primaria completa,be49d6c7-46e2-432f-8d97-aed1370ba36c,OK,0,100
96,Información Socioeconómica NBI (Deciles),9c116c36-f483-443b-9f4d-0b26c4a461e8,OK,0,88
97,Información Socioeconómica Urbanizaciones Cerradas Wikimapia,a1b39f04-e852-4e2d-b51e-ef3a6c3be0a5,OK,0,4
98,Informes Estadísticos del Sector Eléctrico (Quinquenales y Decenales),2d788688-1a20-4595-841d-4786cf3595e8,ERROR,2,5
99,Informe Trimestral de Coyuntura Energética,82496485-c054-4623-be52-fb2bdec9b587,ERROR,1,4
100,Instalaciones Hidrocarburos Ductos Res. 319 93,84681f81-dbbb-49eb-be30-e61778736ad9,OK,0,3
101,Instalaciones Hidrocarburos Instalaciones Res.318,164e7197-3222-4d21-81df-9db30ccd3940,OK,0,4
102,Instalaciones Hidrocarburos Instalaciones Res.319 93 (P. Característicos),e5c525ff-6dbd-4e1e-a52e-14e9d742c4f1,OK,0,4
103,Instalaciones Hidrocarburos Puertos Regasificadores de GNL,bf7914d6-1174-4766-a632-0e7d62068b25,OK,0,4
104,Inventario de Presas y Centrales Hidroeléctricas de la República Argentina,ae7886fe-7919-402c-9296-bd9ec05f29a0,ERROR,4,4
105,Inversiones en mercado de hidrocarburos upstream,83fd2c3f-e0f5-4d56-a3ef-828eac226ba9,ERROR,1,9
106,Irradiancia normal directa,2d730da0-632f-4722-8e6f-4e4f5f40b9ab,OK,0,4
107,Isotermas Atlas 2002,5a005898-adf2-4c23-984b-8a46467b7868,OK,0,4
