indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Residuos Patogénicos,d47125a7-0774-4d51-9617-f70fb1944376,ERROR,1,1
1,Residuos Peligrosos,f6171d41-b223-4904-a475-eccf107c1716,ERROR,1,1
2,Contaminación Sonora,55e917bf-5c83-4870-aff2-9786b2fd4018,ERROR,1,4
3,Calidad del Aire,bf030d4a-06e8-48ad-a8d7-dfb402cbbf0a,OK,0,4
4,Deuda Pública de la Provincia de Mendoza,e0c0f61c-fc1c-4846-84fb-3a8f3f4662b1,ERROR,1,2
5,Datos Estadísticos Instituto Provincial de Juegos y Casinos,71648b9c-f64a-4d27-9e9c-efd1a485beb1,ERROR,1,8
6,Ejecución Presupuestaria 2017,74f54398-066f-4c7e-ba34-37ac6f05fd77,ERROR,1,2
7,Transferencias de Fondos y Responsabilidad Fiscal Instituto Provincial de Juegos y Casinos,4b70c708-9781-4f18-8bb4-066f4a8fe98d,ERROR,1,3
8,Red Federal de Monitoreo Ambiental,b35f4143-0a58-45c0-9326-afe29a5fb50d,ERROR,1,1
9,Sistema de Consultas Ciudadanas,44d947ad-20e3-4cdf-8cc4-b9aec53a039f,ERROR,1,3
