indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Bocas de atención de los Prestadores de PAMI,0f1f7433-adae-4fa0-aeb1-418fd56d0e22,ERROR,3,2
1,Campaña de Vacunación Antigripal,f8b8dfc3-ab1b-4ffd-af90-57f5ebd47ebc,ERROR,3,4
2,Centros de Día,f0668be3-7d62-4f80-b7cf-6d82a59c3251,ERROR,3,2
3,Centros de jubilados,b1ba6df7-6033-48aa-bfbb-f34beed9a769,ERROR,3,2
4,Clínicas de Internación,e7410fdc-0a11-41f8-a19e-ddc8edee9390,ERROR,3,2
5,Consejos Participativos,c4aade1d-c44e-4de3-9b2d-c25ab4cd48e0,ERROR,3,6
6,Diálisis,5deeeed1-e078-4457-97a3-5e6be203078a,ERROR,3,2
7,Farmacias,618491a1-441a-4265-9ea9-2ef60d872d32,ERROR,3,2
8,Internación en Instituciones geriátricas,2beb5afd-531f-410a-9a99-a4b411d53942,ERROR,3,2
9,Licitaciones y Adjudicaciones,0258a6e0-a1c4-4ad9-8400-068847620a7e,ERROR,3,2
10,Listado de Unidades de Gestión Local (UGL) y agencias,a5cdf5a5-429c-47be-827f-f5b72a2c50b2,ERROR,3,2
11,Medicamentos dispensados,baf7172c-ad2c-4b13-ad33-9f6596ff733e,ERROR,3,2
12,Medicina Física y Rehabilitación,457f1412-1a1b-4394-9a8a-c95dc687a82d,ERROR,3,2
13,Médicos de Cabecera,04422e20-8d9d-4308-bc8e-2aa4eaae8672,ERROR,3,2
14,Nomenclador de Prácticas Médicas,77176f54-146c-4344-964e-ba6e773ba969,ERROR,3,2
15,Organigrama,a483b15f-18ff-45d7-b997-50216714d889,ERROR,3,1
16,Padrón de Afiliados,cb9f7a0d-abeb-423a-afc3-4a59df03613d,ERROR,3,4
17,Prestadores Médicos,4e029bf0-cb9b-4034-9b8e-932ebd2d5869,ERROR,3,2
18,Presupuesto Institucional,e3e307c0-e4ae-4635-afbb-e038de9e5be1,ERROR,3,4
19,Programa PROSAR,2dbc0e31-2e1e-4595-bc9e-c498d7dd5d81,ERROR,3,2
20,Puntos de Vacunación,92a03489-839e-4c9b-ba73-5ae31a2df233,ERROR,3,2
21,Receta Electrónica,609ea56d-7244-4f3a-b7b1-185bc85624ff,ERROR,3,1
22,Registro de Tratamiento Farmacologico - Subsidio Social (Cobertura al 100% en medicamentos ambulatorios),60efdbc5-ba7a-4bf0-b23a-7504f92f26a6,ERROR,3,2
23,Residencias Geriátricas,52736436-d771-4857-b644-7591a225e1da,ERROR,3,4
24,Turnos para trámites en las dependencias de PAMI,acbe895d-3c69-470e-9a1b-4042d73fdfd5,ERROR,3,4
25,Vademécum de Medicamentos,9cf63a5a-2e2e-4c7c-9580-2f7b08703f82,ERROR,3,2
