indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Gestión de reclamos y afines,0d62b281-b0c6-43ae-a911-d92adefb0889,OK,0,4
1,Nomina de trabajadores en el Servicio Penitenciario Federal,e80cdaf3-996b-4ff7-887d-32d7cbd35770,ERROR,2,1
2,Listado de personas afectadas al ENCOPE,4c483379-af82-43ca-808e-7907c11cbe66,ERROR,2,1
3,Fallecimientos en Prisión,8b9dce12-7069-4fd6-b78b-08e1f03e3732,ERROR,1,1
4,Casos de Tortura y Malos Tratos registrados e investigados por la PPN,80b0e1e2-8052-48a5-9f05-090fa34e5c50,ERROR,2,1
5,Listado de personas en Resguardo en el Servicio Penitenciario Federal,7f5ba0c2-2142-4b5e-9762-14fc52cc24bd,ERROR,2,4
6,Relevamiento sobre Extranjeros en prisión,8dc50506-2d71-418c-9f28-47fa922410b1,ERROR,2,1
7,Trabajo en Servicio Penitenciario Federal,bfda0076-5a4a-489e-9e46-a75d931811e7,ERROR,2,1
8,Argentinos privados de libertad en el exterior,7759f43e-22d4-4d80-bdca-e04e13b6540c,ERROR,2,1
9,Sanciones de aislamiento en el Servicio Penitenciario Federal,5ae382d8-e6c0-486c-bc6a-05bba3408c81,ERROR,2,1
10,Relevamiento sobre TIC´s en el Servicio Penitenciario Federal,6979a167-c241-4e09-b9ab-38045ad3a98d,ERROR,2,1
11,Respuesta judicial ante Fallecimiento,66d16782-24eb-462a-856f-4af29e1c9124,ERROR,2,1
12,Medidas de fuerza,c44d3e2f-5367-40b0-a162-35b82c97d2f9,ERROR,2,1
13,Procedimiento de requisa en Servicio Penitencario Federal,0f42f8c4-7885-4c17-a0d2-3c09f9989429,ERROR,2,1
14,Traslados en el Servicio Penitenciario Federal,233c0bc3-d18e-4e1c-8680-952c126794b7,ERROR,1,1
15,Población y alojamiento en el Servicio Penitenciario Federal,c8a7c0ec-775f-4f3d-982f-72290d29e6e8,ERROR,1,1
