indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Cosméticos. Listado de estabelecimientos.,30cbaed4-dadf-4044-8e30-3fbce0a48a6f,OK,0,1
1,Listado de faltantes de medicamentos,d9ebb3a9-ea4a-416c-be3c-0f51c82d5304,OK,0,1
2,Registro Federal de Droguerias (REDRO),11b7b107-17cf-4eb9-bfaf-4bcfcfc5d146,OK,0,1
3,INCUCAI,10e70ea5-5ef2-4127-92f6-2480e403f668,OK,0,1
4,Legislacion en Salud de la República Argentina (LEGISALUD),0b9a303e-3208-4618-a70a-5990ef8f87be,OK,0,1
5,Boletin integrado de vigilancia,20796b81-87f7-4f4e-9b62-cbd4c04d804c,OK,0,1
6,Registro Federal de Farmacias (REFAR),18494b24-f6b1-46fb-bee0-c1cbab850ff1,ERROR,1,1
7,Estadísticas vitales SERIE 5,2aeccb4c-a1c3-4940-802e-c61482c1bca1,OK,0,1
8,Estadísticas de consultas e internaciones en establecimientos públicos SERIE 11,e236af2c-5d5f-4eaf-bf51-9b8f1cd33bea,OK,0,1
9,Registro Federal de Establecimientos de Salud (REFES),41a6263e-8c84-41fc-90e0-32150e1d7620,ERROR,1,1
